Регионы;Y;X1;X2;X3;X4;X5;X6
Белгородская область;643774,4;4,9;65,4;17,40;57,19;-3649;0,60
Брянская область;349774,4;4;69,5;16,02;33,66;-1588;0,57
Владимирская область;404785,5;5,6;77,7;15,83;33,43;-3588;0,59
Воронежская область;456565,5;4,3;68,3;19,87;46,21;4392;0,55
Ивановская область;284826,2;5,4;81,8;16,16;15,34;-772;0,62
Калужская область;533059,9;4,7;75;18,75;295,25;3448;0,63
Костромская область;343868,4;5,5;73,4;14,22;35,46;-1263;0,65
Курская область;477362,7;4,8;68,4;17,32;23,09;1691;0,60
Липецкая область;535237,5;4,3;63,3;17,89;24,13;-1743;0,61
Московская область;643208,1;3,6;78,7;23,52;9,58;81305;0,55
Орловская область;389873,7;6,1;66,7;19,26;1,71;-1470;0,61
Рязанская область;413598,3;5,3;71,5;15,24;445,88;2900;0,56
Смоленская область;401921,6;5,3;72,5;16,50;37,42;-952;0,62
Тамбовская область;376475,5;4,6;60,2;15,88;9,56;-1381;0,60
Тверская область;389464,4;4,4;76,3;14,04;7,14;-233;0,60
Тульская область;471229;4,4;73,9;16,67;7,21;2604;0,61
Ярославская область;497907,8;7,3;81,2;16,18;90,22;1699;0,60
г.Москва;1562963,6;2,8;100;22,17;42,90;41006;0,57
Республика Карелия;591114,7;8,7;79,2;17,03;30,31;415;0,67
Республика Коми;810217,9;7,7;77,5;14,19;32,63;-2419;0,65
Архангельская область;747171,9;7,3;77,3;14,00;41,46;-2035;0,58
  в т.ч. Ненецкий авт. округ;198653,5;8,9;73,8;16,16;12,97;771;0,53
  Архангельская область без Ненецкого авт.округа;548518,4;7,2;77,5;13,91;28,49;-2806;0,58
Вологодская область;540722,5;6,1;72,4;13,82;25,64;-798;0,58
Калининградская область;539350,5;5,9;76,9;17,63;21,28;6227;0,62
Ленинградская область;630638,4;5,3;66,8;17,13;22,62;23099;0,58
Мурманская область;1164918,2;7,6;93,1;18,02;8,11;664;0,70
Новгородская область;473600,1;5,8;72,7;14,05;1,27;783;0,65
Псковская область;331405,5;6,3;70,7;17,68;406,55;-801;0,65
г.Санкт-Петербург;954862,8;3;100;23,01;32,46;9785;0,59
Республика Адыгея;292264,5;8,4;49,6;17,29;9,45;3525;0,64
Республика Калмыкия;348863,1;9,5;46,5;21,71;4,66;2413;0,67
Республика Крым;267220,8;6,3;50,6;18,03;6,73;3327;0,53
Краснодарский край;459481,1;5,7;56,6;17,29;81,72;32496;0,51
Астраханская область;541099;7,9;64,7;15,50;44,53;-2355;0,61
Волгоградская область;387991;7,6;77,3;14,10;52,49;-1328;0,55
Ростовская область;406006;5;68;17,96;49,36;9912;0,53
г.Севастополь;271274,5;4,6;92,3;21,11;57,12;5034;0,66
Республика Дагестан;234960,7;15,8;45,3;10,80;28,25;-5311;0,44
Республика Ингушетия;141618,3;31,1;53,8;10,73;255,03;1925;0,71
Кабардино-Балкарская Республика;200313,5;14,8;52;18,31;29,82;-934;0,63
Карачаево-Черкесская Республика;202626,9;14,8;41,4;21,36;45,57;-603;0,65
Республика Северная Осетия-Алания;258575,6;15,4;63,4;20,44;27,97;-2372;0,56
Чеченская Республика;169364,1;18,5;37,9;11,95;8,76;-4594;0,51
Ставропольский край;291614,2;6,2;60,3;18,63;1,03;1488;0,52
Республика Башкортостан;412767,7;5,9;61,8;16,83;480,11;-926;0,50
Республика Марий Эл;290412,2;6,8;67,9;16,16;40,10;528;0,63
Республика Мордовия;335559,5;5,4;63,2;20,38;13,48;145;0,63
Республика Татарстан;658311,7;3,6;76,8;20,86;5,27;8085;0,55
Удмуртская Республика;466779,7;6,3;65,7;16,26;6,54;-2066;0,58
Чувашская Республика;288278,8;6;63,5;18,15;89,24;-942;0,58
Пермский край;540576,6;5,7;75,7;14,47;56,93;-2227;0,51
Кировская область;335637;5,3;77,59;15,30;36,19;477;0,59
Нижегородская область;506541,7;4,6;79,8;17,22;40,67;152;0,57
Оренбургская область;554155,2;5,9;59,7;15,74;36,57;-3605;0,53
Пензенская область;376779,9;4,9;68,7;16,90;18,05;-326;0,57
Самарская область;508744,1;4,4;79,7;20,45;296,45;3462;0,56
Саратовская область;347067,4;5,6;76,4;16,86;37,42;-2987;0,52
Ульяновская область;361772,2;4,9;76,4;14,48;24,91;-493;0,57
Курганская область;302428,2;8,1;63,6;12,66;25,47;-2161;0,57
Свердловская область;584365,9;5,8;85,7;16,56;16,31;1153;0,51
Тюменская область;1923636,2;3,6;80,59;17,37;10,44;26526;0,54
   в т.ч. Ханты-Мансийский автономный округ-Югра;197598,9;3;92;16,98;74,72;21040;0,60
           Ямало-Ненецкий автономный округ;243308,8;2,4;84,6;20,47;33,25;-256;0,75
           Тюменская область (без Ханты-Мансийского авт.округа-Югра и Ямало-Ненецкого авт.округа);739208,2;4,8;67,2;16,79;0,99;5742;0,53
Челябинская область;463603,9;6,8;82,7;15,43;9,18;1996;0,56
Республика Алтай;297548,1;13,9;30,9;17,11;5,54;-439;0,72
Республика Тыва;247766,7;18,2;54,5;14,97;82,17;-2492;0,71
Республика Хакасия;495471,2;8,6;68,5;13,56;36,53;-132;0,63
Алтайский край;300706,5;6;57,9;13,57;40,94;-1710;0,52
Красноярский край;950427,4;6;79,09;15,76;45,11;9656;0,54
Иркутская область;625618,7;7,7;77,7;15,24;59,07;-6051;0,52
Кемеровская область-Кузбасс;396616,6;6,7;86,5;15,61;16,80;-3490;0,52
Новосибирская область;483951,6;6,7;79,5;16,63;393,96;4959;0,53
Омская область;407371;8,9;71,3;15,47;30,59;-5145;0,58
Томская область;517023;8,7;73,4;16,77;19,66;-4860;0,58
Республика Бурятия;308499,3;10,5;59,2;18,31;31,52;-1442;0,53
Республика Саха (Якутия);1154483,9;7,5;68,9;17,49;9,74;753;0,61
Забайкальский край;414483,8;9,8;66,3;12,22;1,42;-4902;0,60
Камчатский край;1005493;3,7;77,8;19,57;484,82;687;0,72
