Регионы;X1;X2;X3;X4;X5_thous;X6;ln_Y;D1
Белгородская область;4.9;65.4;17.4;57.19;-3.649;0.6;-0.4404;0
Брянская область;4.0;69.5;16.02;33.66;-1.588;0.57;-1.0505;0
Владимирская область;5.6;77.7;15.83;33.43;-3.588;0.59;-0.9044;0
Воронежская область;4.3;68.3;19.87;46.21;4.392;0.55;-0.784;0
Ивановская область;5.4;81.8;16.16;15.34;-0.772;0.62;-1.2559;0
Калужская область;4.7;75.0;18.75;295.25;3.448;0.63;-0.6291;0
Костромская область;5.5;73.4;14.22;35.46;-1.263;0.65;-1.0675;0
Курская область;4.8;68.4;17.32;23.09;1.691;0.6;-0.7395;0
Липецкая область;4.3;63.3;17.89;24.13;-1.743;0.61;-0.625;0
Московская область;3.6;78.7;23.52;9.58;81.305;0.55;-0.4413;0
Орловская область;6.1;66.7;19.26;1.71;-1.47;0.61;-0.9419;0
Рязанская область;5.3;71.5;15.24;445.88;2.9;0.56;-0.8829;0
Смоленская область;5.3;72.5;16.5;37.42;-0.952;0.62;-0.9115;0
Тамбовская область;4.6;60.2;15.88;9.56;-1.381;0.6;-0.9769;0
Тверская область;4.4;76.3;14.04;7.14;-0.233;0.6;-0.943;0
Тульская область;4.4;73.9;16.67;7.21;2.604;0.61;-0.7524;0
Ярославская область;7.3;81.2;16.18;90.22;1.699;0.6;-0.6973;0
Республика Карелия;8.7;79.2;17.03;30.31;0.415;0.67;-0.5257;0
Республика Коми;7.7;77.5;14.19;32.63;-2.419;0.65;-0.2105;0
Архангельская область;7.3;77.3;14.0;41.46;-2.035;0.58;-0.2915;0
Вологодская область;6.1;72.4;13.82;25.64;-0.798;0.58;-0.6148;0
Калининградская область;5.9;76.9;17.63;21.28;6.227;0.62;-0.6174;0
Ленинградская область;5.3;66.8;17.13;22.62;23.099;0.58;-0.461;0
Мурманская область;7.6;93.1;18.02;8.11;0.664;0.7;0.1527;1
Новгородская область;5.8;72.7;14.05;1.27;0.783;0.65;-0.7474;0
Псковская область;6.3;70.7;17.68;406.55;-0.801;0.65;-1.1044;0
Республика Адыгея;8.4;49.6;17.29;9.45;3.525;0.64;-1.2301;0
Республика Калмыкия;9.5;46.5;21.71;4.66;2.413;0.67;-1.0531;0
Республика Крым;6.3;50.6;18.03;6.73;3.327;0.53;-1.3197;0
Краснодарский край;5.7;56.6;17.29;81.72;32.496;0.51;-0.7777;0
Астраханская область;7.9;64.7;15.5;44.53;-2.355;0.61;-0.6142;0
Волгоградская область;7.6;77.3;14.1;52.49;-1.328;0.55;-0.9468;0
Ростовская область;5.0;68.0;17.96;49.36;9.912;0.53;-0.9014;0
г.Севастополь;4.6;92.3;21.11;57.12;5.034;0.66;-1.3046;0
Республика Дагестан;15.8;45.3;10.8;28.25;-5.311;0.44;-1.4483;0
Республика Ингушетия;31.1;53.8;10.73;255.03;1.925;0.71;-1.9546;0
Кабардино-Балкарская Республика;14.8;52.0;18.31;29.82;-0.934;0.63;-1.6079;0
Карачаево-Черкесская Республика;14.8;41.4;21.36;45.57;-0.603;0.65;-1.5964;0
Республика Северная Осетия-Алания;15.4;63.4;20.44;27.97;-2.372;0.56;-1.3526;0
Чеченская Республика;18.5;37.9;11.95;8.76;-4.594;0.51;-1.7757;0
Ставропольский край;6.2;60.3;18.63;1.03;1.488;0.52;-1.2323;0
Республика Башкортостан;5.9;61.8;16.83;480.11;-0.926;0.5;-0.8849;0
Республика Марий Эл;6.8;67.9;16.16;40.1;0.528;0.63;-1.2365;0
Республика Мордовия;5.4;63.2;20.38;13.48;0.145;0.63;-1.092;0
Республика Татарстан;3.6;76.8;20.86;5.27;8.085;0.55;-0.4181;1
Удмуртская Республика;6.3;65.7;16.26;6.54;-2.066;0.58;-0.7619;1
Чувашская Республика;6.0;63.5;18.15;89.24;-0.942;0.58;-1.2438;0
Пермский край;5.7;75.7;14.47;56.93;-2.227;0.51;-0.6151;1
Кировская область;5.3;77.59;15.3;36.19;0.477;0.59;-1.0917;0
Нижегородская область;4.6;79.8;17.22;40.67;0.152;0.57;-0.6801;0
Оренбургская область;5.9;59.7;15.74;36.57;-3.605;0.53;-0.5903;1
Пензенская область;4.9;68.7;16.9;18.05;-0.326;0.57;-0.9761;0
Самарская область;4.4;79.7;20.45;296.45;3.462;0.56;-0.6758;1
Саратовская область;5.6;76.4;16.86;37.42;-2.987;0.52;-1.0582;0
Ульяновская область;4.9;76.4;14.48;24.91;-0.493;0.57;-1.0167;0
Курганская область;8.1;63.6;12.66;25.47;-2.161;0.57;-1.1959;0
Свердловская область;5.8;85.7;16.56;16.31;1.153;0.51;-0.5372;0
           Тюменская область (без Ханты-Мансийского авт.округа-Югра и Ямало-Ненецкого авт.округа);4.8;67.2;16.79;0.99;5.742;0.53;-0.3022;1
Челябинская область;6.8;82.7;15.43;9.18;1.996;0.56;-0.7687;0
Республика Алтай;13.9;30.9;17.11;5.54;-0.439;0.72;-1.2122;0
Республика Тыва;18.2;54.5;14.97;82.17;-2.492;0.71;-1.3953;0
Республика Хакасия;8.6;68.5;13.56;36.53;-0.132;0.63;-0.7022;0
Алтайский край;6.0;57.9;13.57;40.94;-1.71;0.52;-1.2016;0
Красноярский край;6.0;79.09;15.76;45.11;9.656;0.54;-0.0508;1
Иркутская область;7.7;77.7;15.24;59.07;-6.051;0.52;-0.469;0
Кемеровская область-Кузбасс;6.7;86.5;15.61;16.8;-3.49;0.52;-0.9248;0
Новосибирская область;6.7;79.5;16.63;393.96;4.959;0.53;-0.7258;0
Омская область;8.9;71.3;15.47;30.59;-5.145;0.58;-0.898;0
Томская область;8.7;73.4;16.77;19.66;-4.86;0.58;-0.6597;0
Республика Бурятия;10.5;59.2;18.31;31.52;-1.442;0.53;-1.176;0
Республика Саха (Якутия);7.5;68.9;17.49;9.74;0.753;0.61;0.1437;1
Забайкальский край;9.8;66.3;12.22;1.42;-4.902;0.6;-0.8807;0
Камчатский край;3.7;77.8;19.57;484.82;0.687;0.72;0.0055;0
Приморский край;5.3;78.3;13.22;42.38;-3.858;0.58;-0.5244;0
Хабаровский край;3.9;83.3;15.95;11.7;-0.509;0.62;-0.4189;0
Амурская область;6.0;68.0;16.37;5.1;-2.425;0.64;-0.5492;0
Еврейская автономная область;6.2;70.7;13.08;43.54;-0.899;0.71;-0.8887;0
